"Cuerovaca - Descuento
40% descuento
Viernes - Vitacura","Descripción del Beneficio
Exclusivo con tus Tarjetas de Crédito Bci Visa Siganture, Visa Infinite y Mastercard Black
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos. 
Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci."
"Ambbar Restobar - Descuentos
40% descuento
Miércoles - Antofagasta","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos."
"Sushi Home Reñaca - Descuento
40% descuento
Viernes - Renaca","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos.
Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci"
"Mirazu Robata Fusion - Descuento
40% descuento
Viernes - Renaca","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos.
Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci."
"Parrilla el Galpón - Descuento
40% descuento
Jueves - Osorno","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos.
Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci."
"Toro Bayo - Descuento
40% descuento
Viernes - Talca","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos.
Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci."
"Barquillería - Descuento
40% descuento
Manjar -Tortas - Barquillos - Palmeritas","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
40% de descuento todos los martes, con un tope de $30.000. Exclusivo pagando con Tarjetas de Crédito Bci. Para compras presenciales pedir el descuento antes de pagar, para compras online ingresar los primeros 6 dígitos de tu tarjeta. No acumulable con otras promociones y/o descuentos."
"PedidosYa Plus - Descuento
30% descuento
Pide delivery de comida - restaurantes - farmacias - kioscos y recibe en tu casa","Descripción del Beneficio
Pagando con Tarjeta de Crédito Bci
30% de descuento aplica desde el 1 al 31 de marzo de 2025 para clientes suscritos en PedidosYa Plus con límite máximo de descuento diario de $5.000 en la aplicación de PedidosYa, pagando con Tarjetas de Crédito Bci. Válido solo para una compra al mes por usuario."
"McDonalds en PedidosYa - Descuento
30% descuento
Todos los jueves del mes","Descripción del Beneficio
Pagando con Tarjeta de Crédito o Débito Bci
Campaña McDonald's - PedidosYa: 30% de descuento en pedidos realizados en McDonald’s con límite máximo de descuento de $5.000. La vigencia de los beneficios y/o descuentos dispuestos para los usuarios aplicaría todos los jueves del mes en curso. Durante la vigencia de las presentes bases, se pondrá a disposición de los Usuarios distintos beneficios y/o descuentos cuyas características irán variando. Las condiciones vigentes se irán informando oportunamente en la Plataforma para que los Usuarios puedan tomar conocimiento de estas. El detalle de los descuentos pagando con Tarjetas de Crédito o Débito Banco Bci es: Jueves: 30% de descuento en pedidos realizados en McDonald’s con límite máximo de descuento de $5.000 usando el cupón según corresponda el día de la semana: Jueves 6 de Marzo: BCIMCD060325, Jueves 13 de Marzo: BCIMCD130325. Jueves 20 de Marzo: BCIMCD200325, Jueves 27 de Marzo: BCIMCD270325. Válido una compra diaria. La responsabilidad de la entrega y descuentos por servicios o productos no bancarios es de responsabilidad del comercio que lo ofrece, no habiéndose responsabilidad a Bci en ello, ni en la ulterior atención que se demande. No aplica para Tarjeta de Crédito Bci Bci Corporate. Promoción exclusiva para clientes personas naturales, titulares de una Tarjeta de Crédito Bci. Se excluyen de este beneficio a clientes de Tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci."
"Escuela de Surf - Descuento en arriendo de equipo y clases
20% descuento
Todos los días","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito o Débito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito y débito del Bci.
Para compra presencial se aplicará el 20% de descuento al momento de pagar en el comercio.
Para hacer efectivo el descuento Bci, debes solicitarlo en la escuela antes de realizar la compra.
No acumulable con otras promociones y/o descuentos."
